,Abb_ECM,Metadata_Ratio,Mean_Green,Mean_Orange,Mean_Red,ECM 1,ECM 2
,LN,100,0.163582752,0.17189548,0.08018982,LN,LN
,LNDN,25/75,0.195601389,0.168298329,0.097502308,DN,LN
,LNDN,50/50,0.162947961,0.113811915,0.089098445,DN,LN
,LNDN,75/25,0.188369527,0.150920924,0.097698078,DN,LN
,LNFN,25/75,0.16727849,0.114263475,0.087206566,FN,LN
,LNFN,50/50,0.154052655,0.102936382,0.086228419,FN,LN
,LNFN,75/25,0.166243535,0.111559116,0.094419641,FN,LN
,LNG3,25/75,0.1784801,0.1407424,0.091869171,G3,LN
,LNG3,50/50,0.147796617,0.129493044,0.069698167,G3,LN
,LNG3,75/25,0.168528521,0.142353288,0.099006337,G3,LN
,LNHA,25/75,0.166413985,0.106353224,0.091829794,HA,LN
,LNHA,50/50,0.144033489,0.093375945,0.075943013,HA,LN
,LNHA,75/25,0.192841528,0.140308945,0.087484471,HA,LN
,LNOPN,25/75,0.172302014,0.105822696,0.094580754,OPN,LN
,LNOPN,50/50,0.165350962,0.104028709,0.088304816,OPN,LN
,LNOPN,75/25,0.170149314,0.108061513,0.096605133,OPN,LN
,LNTC,25/75,0.140192659,0.092498379,0.068689237,TC,LN
,LNTC,50/50,0.168514412,0.111310076,0.087441179,TC,LN
,LNTC,75/25,0.172562485,0.115597372,0.089474509,TC,LN
,OPN,100,0.154217386,0.096688913,0.090412393,OPN,OPN
,OPNDN,25/75,0.135882583,0.106185094,0.071947214,DN,OPN
,OPNDN,50/50,0.144608249,0.105814861,0.081300484,DN,OPN
,OPNDN,75/25,0.180312007,0.165640227,0.082694623,DN,OPN
,OPNFN,25/75,0.181305848,0.127149175,0.092594538,FN,OPN
,OPNFN,50/50,0.168725239,0.125751605,0.087593617,FN,OPN
,OPNFN,75/25,0.175509008,0.129468341,0.09327867,FN,OPN
,OPNG3,25/75,0.159214797,0.140627811,0.097126732,G3,OPN
,OPNG3,50/50,0.177226773,0.173814708,0.104388408,G3,OPN
,OPNG3,75/25,0.154155883,0.123730237,0.092606548,G3,OPN
,TC,100,0.134250853,0.089811676,0.072936693,TC,TC
,TCDN,25/75,0.148421826,0.099239864,0.082068836,DN,TC
,TCDN,50/50,0.142985423,0.139780158,0.076204595,DN,TC
,TCDN,75/25,0.166772632,0.105602067,0.085938372,DN,TC
,TCFN,25/75,0.147949859,0.115630452,0.08200961,FN,TC
,TCFN,50/50,0.161210372,0.102663514,0.087509785,FN,TC
,TCFN,75/25,0.162219628,0.107352043,0.083671808,FN,TC
,TCG3,25/75,0.131005091,0.107053918,0.065184412,G3,TC
,TCG3,50/50,0.153939489,0.093245369,0.089547265,G3,TC
,TCG3,75/25,0.164458053,0.104342802,0.089232491,G3,TC
,TCHA,25/75,0.155329992,0.114475165,0.080059505,HA,TC
,TCHA,50/50,0.156320174,0.156535168,0.080646063,HA,TC
,TCHA,75/25,0.165289052,0.111241813,0.086138917,HA,TC
,TCOPN,25/75,0.154976819,0.09821582,0.081240753,OPN,TC
,TCOPN,50/50,0.141540775,0.133611023,0.077398838,OPN,TC
,TCOPN,75/25,0.134845415,0.103640781,0.080437771,OPN,TC
