"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"319","1kPa","E2","05","DMSO","09","25/75","Collagen IVLaminin","C4LN",6.61111111111111,3.86580450158107,1.68900257152554,0.811954564156736,0.146702024803036,NA,0.167717401728258,NA,0.086560882632125,NA,0.0962037035273552,NA,0.0866373267853422,NA,0.120206424505494,NA
"320","1kPa","E2","05","DMSO","10","50/50","Collagen IFibronectin","C1FN",7,NA,1.67198246906524,NA,0.16706825342686,0.123599261186641,0.186485294103768,0.128891403781774,0.0946807206838626,0.0618679762271732,0.105338728908065,0.0721306858318557,0.0920151994221115,0.0788855122502563,0.128515974411421,0.122906875234633
"321","1kPa","E2","05","DMSO","11","25/75","Collagen ILaminin","C1LN",67.8888888888889,15.3115787704745,2.77276120751156,0.800853791473736,0.159966936980208,NA,0.180396126691549,NA,0.0825300150672393,NA,0.0918562828768953,NA,0.0883995315278661,NA,0.116719862425615,NA
"322","1kPa","E2","05","DMSO","12","75/25","Collagen IFibronectin","C1FN",445,174.970156185435,6.02966298032361,0.47171067958743,0.114001202752955,0.0506739942533923,0.133452017818906,0.0519859184126056,0.0785066224171761,0.0558394331321143,0.086942286792632,0.0634587800287476,0.0552638936062337,0.0238433016985111,0.0755751686342382,0.0322561610076972
"323","1kPa","E2","06","10 uM","02","75/25","Collagen IVGalectin 3","C4G3",221.333333333333,45.4300439014634,5.34506727083103,0.188996193005367,0.0977127816949208,0.0353608581390399,0.117128417460907,0.0383351630679171,0.0419940987628649,0.0310285851581573,0.0440274689937397,0.0360584050694844,0.0675053799422089,0.0233026186148076,0.0907731269521181,0.0298953541294966
"324","1kPa","E2","06","10 uM","03","25/75","LamininTenascin C","LNTC",236.555555555556,44.4459721959644,5.42833749982201,0.212715255817676,0.0923544619471872,0.0320931292244466,0.11096597825439,0.0354984886755799,0.0387203973006211,0.027192237496959,0.0401458858815502,0.0318476846386473,0.0569469161051143,0.0299634299756061,0.0772983455687352,0.0353193888098118
"325","1kPa","E2","06","10 uM","04","25/75","Tenascin CDecorin","TCDN",176.333333333333,35.0666032952533,5.14739388277563,0.206104738901273,0.116442325001905,0.0407952149775521,0.138003883798212,0.0436499689134,0.0490972122889269,0.0328764859710296,0.0526078566305163,0.0382393593257297,0.0662110262922985,0.0237727207382183,0.0891843460446641,0.0313144204099194
"326","1kPa","E2","06","10 uM","05","25/75","OsteopontinFibronectin","OPNFN",22.8888888888889,34.1922668320062,1.89563082344358,2.20670641965724,0.11895654191589,NA,0.13986920521908,NA,0.05058335400315,NA,0.0543931939161878,NA,0.119904074886591,NA,0.162749509897035,NA
"327","1kPa","E2","06","10 uM","06","75/25","Collagen IVHyaluronic Acid","C4HA",11.4444444444444,13.1571695706604,1.9153630529525,1.36951311412416,0.115896825980412,NA,0.137281415380598,NA,0.0419905048649894,NA,0.0445148129419703,NA,0.0938130895300565,NA,0.13174630020337,NA
"328","1kPa","E2","06","10 uM","07","25/75","Collagen IVTenascin C","C4TC",96.4444444444444,26.5434654021579,4.50312986685055,0.275072130301004,0.145880121943517,0.0536581556478032,0.168282140438146,0.0558550978513981,0.0579133830506173,0.0318406597145651,0.0630678453664127,0.0371188031946162,0.0777784298160597,0.0260008151637458,0.103785893345128,0.034655266689479
