"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"2437","08","25kPa",2,"E1","02","10 uM","02","100","Laminin","LN",3,1.09861228866811,0.138516304630701,0.0282552781049954,0.117597554104658,0.0253595449352786,0.0505150497944819,0.00542642632429593,0.0473102993878529,0.00469713450947455,0.181871723604523,0.0352030364498341,0.147963991578983,0.0286413845010871
"2438","08","25kPa",2,"E1","02","10 uM","03","75/25","Collagen IDecorin","C1DN",254,5.53733426701854,0.0987624423721382,0.0313402235902619,0.0837244568729885,0.026369623165178,0.0347621945850361,0.0270169114663732,0.0342548965810864,0.0231744866273061,0.085481490459443,0.0345285877359432,0.067465295009603,0.0281026764233099
"2439","08","25kPa",2,"E1","02","10 uM","04","50/50","Collagen ICollagen IV","C1C4",224,5.41164605185504,0.0843269508286914,0.0198566723634868,0.0714722345675526,0.0156747048084944,0.0300130724122536,0.0223513520841975,0.0300246483593865,0.0193240270416273,0.0781757254518149,0.020489187660686,0.0605806447800914,0.0170128036794505
"2440","08","25kPa",2,"E1","02","10 uM","05","25/75","Hyaluronic AcidFibronectin","HAFN",1,0,0.138452015248568,NA,0.11727002305636,NA,0.0427736671740152,NA,0.040651578580057,NA,0.153647062629461,NA,0.125097726944741,NA
"2441","08","25kPa",2,"E1","02","10 uM","06","75/25","Hyaluronic AcidGalectin 3","HAG3",3,1.09861228866811,0.091214864705633,0.0220049070337723,0.0766336908033173,0.0181818639615356,0.0236760236448531,0.00147401879529515,0.0243435799664026,0.00122344492705018,0.110919504563647,0.0533554302206341,0.0879214894831224,0.045806214928157
"2442","08","25kPa",2,"E1","02","10 uM","07","25/75","LamininGalectin 3","LNG3",2,0.693147180559945,0.0820727912774208,0.000868668189624179,0.0686316945843925,0.000671415331600777,0.0260693865866774,0.00458908786564668,0.0263696991608482,0.0038751135887968,0.109867742370357,0.0169635004124525,0.0875712161206407,0.014948217352116
"2443","08","25kPa",2,"E1","02","10 uM","09","75/25","LamininGalectin 3","LNG3",1,0,0.108527565708841,NA,0.0907114419942082,NA,0.0312403625431941,NA,0.0307760176057849,NA,0.101960786768506,NA,0.0806722711312892,NA
"2444","08","25kPa",2,"E1","02","10 uM","10","50/50","Collagen IVOsteopontin","C4OPN",120,4.78749174278205,0.091139279847131,0.0165172802490097,0.0764886052742244,0.0135285336862882,0.0313816522526297,0.0167006633161109,0.0310020019589563,0.0144497090145257,0.0970307147262514,0.0265327733349215,0.0764898729148048,0.0227165933871696
"2445","08","25kPa",2,"E1","02","10 uM","11","100","Collagen I","C1",171,5.14166355650266,0.0873974914081302,0.0217956503105364,0.0738761151050336,0.0179197992432132,0.0340375957014352,0.019905092167089,0.0333576283704876,0.0171627195943747,0.0778322499669533,0.0283240878385408,0.0605447748849391,0.0235815918864763
"2446","08","25kPa",2,"E1","02","10 uM","12","50/50","OsteopontinGalectin 3","OPNG3",1,0,0.0745098061255507,NA,0.0630583619218115,NA,0.0136717705323986,NA,0.0169212884800273,NA,0.0801742946108182,NA,0.0614563734422608,NA
"2447","08","25kPa",2,"E1","03","10 uM","02","100","Collagen IV","C4",162,5.08759633523238,0.108358096178073,0.0291164327688972,0.0913563509127139,0.0253623450587984,0.0454289422232796,0.0374268905901472,0.0432206224094087,0.0327984191661931,0.116061660535851,0.032423830911858,0.0926743628459875,0.027720115416767
"2448","08","25kPa",2,"E1","03","10 uM","03","25/75","Collagen ICollagen IV","C1C4",204,5.31811999384422,0.0909632786761643,0.0225525231687291,0.0767598214970671,0.0185939786929561,0.0343606086321648,0.0294033566786021,0.0337450288790287,0.0256998098405419,0.0820770678110798,0.0243635980624708,0.0637745681679796,0.0204633656425246
"2449","08","25kPa",2,"E1","03","10 uM","05","100","Fibronectin","FN",3,1.09861228866811,0.102862396285211,0.0226367985351195,0.0862330560506434,0.019283273318004,0.038054200706341,0.0257365280698076,0.0372964450705987,0.021178181612711,0.115650756162069,0.0649758049936763,0.0937689380034442,0.0535417002045902
"2450","08","25kPa",2,"E1","03","10 uM","06","50/50","OsteopontinDecorin","OPNDN",3,1.09861228866811,0.0963276457346768,0.0309281948192934,0.0811922243168473,0.0261201706302206,0.0294290713974373,0.00985295385883383,0.0292586109516792,0.00841485904046794,0.0934980175803177,0.0234329430194669,0.073234020069924,0.0205687424829062
"2451","08","25kPa",2,"E1","03","10 uM","10","75/25","Collagen IGalectin 3","C1G3",231,5.44241771052179,0.109238025827419,0.0286438970951195,0.0921098369326938,0.0248687019945964,0.0481150251342712,0.0395851241805515,0.0455576355393168,0.0345570760406531,0.0687760260324395,0.0171605161071081,0.0528413870397867,0.0137288651870694
"2452","08","25kPa",2,"E1","03","10 uM","11","50/50","LamininFibronectin","LNFN",2,0.693147180559945,0.102430320916865,0.00982126346160194,0.0854900006637773,0.00843244443287963,0.0268851933239378,0.0224501238831221,0.0279256917888688,0.01797957739447,0.0716042797919363,0.0329478997322487,0.055710249766091,0.0263323985675569
"2453","08","25kPa",2,"E1","03","10 uM","12","25/75","Hyaluronic AcidGalectin 3","HAG3",4,1.38629436111989,0.146741160409439,0.113504086030176,0.12908590652862,0.105614121474464,0.0266322024956909,0.0152451568334741,0.027366439249959,0.0120907905606442,0.0675056276773024,0.0267266493022145,0.05240969074626,0.0204492677707875
"2454","08","25kPa",2,"E1","04","10 uM","02","25/75","LamininDecorin","LNDN",1,0,0.148863374147995,NA,0.126699115356046,NA,0.0676421829364934,NA,0.0623259636916619,NA,0.219256664575332,NA,0.178026331373787,NA
"2455","08","25kPa",2,"E1","04","10 uM","03","75/25","OsteopontinGalectin 3","OPNG3",2,0.693147180559945,0.143371957982182,0.00714833386357587,0.121727985010395,0.00647091414918738,0.049448412795941,0.00239870385195257,0.0463812092160279,0.0020707486458395,0.153167482215413,0.0214703758465087,0.12461549900871,0.0179830941456458
"2456","08","25kPa",2,"E1","04","10 uM","04","75/25","Collagen IVHyaluronic Acid","C4HA",13,2.56494935746154,0.109927993413616,0.0209376360802433,0.0924241949176301,0.0176865488755389,0.0390454253996229,0.0182020262317435,0.0372228874628495,0.0164396970913632,0.114823080740216,0.0256909272490473,0.0921266427558438,0.0215716416522687
"2457","08","25kPa",2,"E1","04","10 uM","06","75/25","Collagen IVOsteopontin","C4OPN",165,5.10594547390058,0.0855971287496984,0.0207972416973886,0.0724617103748416,0.016792680982716,0.030999756902865,0.0211438026405671,0.0308073239219988,0.018252223151735,0.0649657578701464,0.0175360320876178,0.0499042095103606,0.0140279844239033
"2458","08","25kPa",2,"E1","04","10 uM","07","50/50","Collagen IVFibronectin","C4FN",163,5.09375020080676,0.0848269380312008,0.0237958277355406,0.072005815533662,0.0196929954854596,0.02936792824164,0.0182583901039754,0.0294438745575138,0.015662339944628,0.065841990195952,0.019192206244195,0.0507284193704461,0.0150854354680277
"2459","08","25kPa",2,"E1","04","10 uM","08","75/25","Collagen IOsteopontin","C1OPN",71,4.26267987704132,0.15837567291188,0.031284630981147,0.135895596895063,0.028902123354817,0.0348055537683556,0.0259196554912279,0.0343341579198241,0.0221311943256975,0.0570642687669362,0.0458530918890884,0.0464207959498053,0.0365637593437875
"2460","08","25kPa",2,"E1","04","10 uM","09","50/50","DecorinFibronectin","DNFN",9,2.19722457733622,0.174081048694085,0.090486969915835,0.152949895477785,0.0851033330200938,0.0502948659006698,0.0289580496215129,0.0473976043824235,0.0250625036198224,0.0921029475040551,0.038368903296634,0.0735806982064265,0.0312878810501991
"2461","08","25kPa",2,"E1","04","10 uM","10","25/75","OsteopontinFibronectin","OPNFN",10,2.30258509299405,0.0609350190566796,0.011608797876108,0.0544336694870199,0.00763593136958723,0.0154191472691323,0.009709817372145,0.0185032378405429,0.007496658823355,0.0409852094608177,0.0407022832855299,0.0336593040161624,0.0322939808157427
"2462","08","25kPa",2,"E1","04","10 uM","11","50/50","Collagen IOsteopontin","C1OPN",90,4.49980967033027,0.115535690438426,0.0308663411273036,0.0975449755446662,0.0272732846255387,0.0460363297458636,0.0317246554183544,0.0436576391830968,0.0276319922986075,0.0692700818832063,0.0157280736408147,0.0531394237594093,0.0126259788872011
"2463","08","25kPa",2,"E1","04","10 uM","12","25/75","Collagen IVGalectin 3","C4G3",189,5.24174701505964,0.0767330149137764,0.0150074102013333,0.0654324780983603,0.0112790799614742,0.0382948916935396,0.0244161485044026,0.0369837868237804,0.021173967975942,0.0491531042537199,0.0113894797288187,0.0379771652241051,0.00814286996237371
"2464","08","25kPa",2,"E1","05","10 uM","02","50/50","Collagen IVHyaluronic Acid","C4HA",158,5.06259503302697,0.08900380240854,0.0172070978029178,0.0747613445308421,0.0142707575316384,0.0333597210874066,0.0180548123804095,0.0327630976866231,0.0155272221327084,0.114635399730456,0.0275065291761126,0.0914917682386566,0.0236055038370815
"2465","08","25kPa",2,"E1","05","10 uM","03","75/25","LamininHyaluronic Acid","LNHA",1,0,0.0917469843338102,NA,0.0764131469692048,NA,0.0291021679584077,NA,0.0289246306015554,NA,0.107542582536048,NA,0.0856262149278162,NA
"2466","08","25kPa",2,"E1","05","10 uM","04","100","Galectin 3","G3",6,1.79175946922805,0.108948507605586,0.0310539077738666,0.0916515780528934,0.0276328938952776,0.033368886240957,0.0172038722595282,0.0329698948955199,0.0142791253556471,0.102346271962561,0.0280992000254248,0.0810869574661922,0.0240046280922531
"2467","08","25kPa",2,"E1","05","10 uM","05","50/50","Collagen IVGalectin 3","C4G3",205,5.32300997913841,0.0863393010316363,0.0185271989228907,0.0728203214030964,0.0150639997029891,0.0338433366164992,0.0275242881586057,0.0332440283010855,0.0239715276623292,0.0647532205148399,0.0154514698212224,0.0496162074325894,0.0122735567412806
"2468","08","25kPa",2,"E1","05","10 uM","06","50/50","Hyaluronic AcidFibronectin","HAFN",4,1.38629436111989,0.113637226066604,0.0557287188808112,0.0981519188655823,0.0457677191808,0.0400718413329874,0.0224649704543973,0.0389187671520089,0.018201904683293,0.0897387751755329,0.0466981218895229,0.0717953622591422,0.0375159741973133
