,.y.,group1,group2,p,p.adj,p.format,p.signif,method
230,Mean_Red_Norm,LNG3,G3,0.212006486,1,0.21201,ns,Wilcoxon
231,Mean_Red_Norm,LNG3,DNG3,0.230979432,1,0.23098,ns,Wilcoxon
232,Mean_Red_Norm,LNG3,C1LN,0.362770631,1,0.36277,ns,Wilcoxon
233,Mean_Red_Norm,LNG3,TCG3,0.610885122,1,0.61089,ns,Wilcoxon
234,Mean_Red_Norm,LNG3,TCFN,0.627024554,1,0.62702,ns,Wilcoxon
235,Mean_Red_Norm,LNG3,C1TC,0.106410959,1,0.10641,ns,Wilcoxon
236,Mean_Red_Norm,LNG3,C4LN,0.949883793,1,0.94988,ns,Wilcoxon
237,Mean_Red_Norm,LNG3,C1FN,0.350779696,1,0.35078,ns,Wilcoxon
238,Mean_Red_Norm,LNG3,C4TC,0.128095531,1,0.1281,ns,Wilcoxon
239,Mean_Red_Norm,LNG3,C4DN,0.805894092,1,0.80589,ns,Wilcoxon
240,Mean_Red_Norm,LNG3,TCOPN,0.488889207,1,0.48889,ns,Wilcoxon
241,Mean_Red_Norm,LNG3,TCHA,0.533073437,1,0.53307,ns,Wilcoxon
242,Mean_Red_Norm,LNG3,C1HA,0.823642131,1,0.82364,ns,Wilcoxon
243,Mean_Red_Norm,LNG3,LNTC,0.362770631,1,0.36277,ns,Wilcoxon
244,Mean_Red_Norm,LNG3,HA,0.272461499,1,0.27246,ns,Wilcoxon
245,Mean_Red_Norm,LNG3,HADN,0.693297142,1,0.6933,ns,Wilcoxon
246,Mean_Red_Norm,LNG3,LNOPN,0.510734794,1,0.51073,ns,Wilcoxon
247,Mean_Red_Norm,LNG3,TC,0.270935615,1,0.27094,ns,Wilcoxon
248,Mean_Red_Norm,LNG3,DN,0.122396401,1,0.1224,ns,Wilcoxon
249,Mean_Red_Norm,LNG3,OPN,0.990400624,1,0.9904,ns,Wilcoxon
250,Mean_Red_Norm,TCDN,C4OPN,0.519533585,1,0.51953,ns,Wilcoxon
251,Mean_Red_Norm,TCDN,C1,0.66368967,1,0.66369,ns,Wilcoxon
252,Mean_Red_Norm,TCDN,OPNG3,0.026269966,1,0.02627,*,Wilcoxon
253,Mean_Red_Norm,TCDN,C4,0.261913319,1,0.26191,ns,Wilcoxon
254,Mean_Red_Norm,TCDN,HAOPN,0.594790724,1,0.59479,ns,Wilcoxon
255,Mean_Red_Norm,TCDN,FN,0.613215774,1,0.61322,ns,Wilcoxon
256,Mean_Red_Norm,TCDN,OPNDN,0.602578795,1,0.60258,ns,Wilcoxon
257,Mean_Red_Norm,TCDN,OPNFN,0.206498096,1,0.2065,ns,Wilcoxon
258,Mean_Red_Norm,TCDN,LNDN,0.076002369,1,0.076,ns,Wilcoxon
259,Mean_Red_Norm,TCDN,LNFN,0.190707278,1,0.19071,ns,Wilcoxon
260,Mean_Red_Norm,TCDN,C1G3,0.165217417,1,0.16522,ns,Wilcoxon
261,Mean_Red_Norm,TCDN,C4HA,0.587048377,1,0.58705,ns,Wilcoxon
262,Mean_Red_Norm,TCDN,G3FN,0.775315012,1,0.77532,ns,Wilcoxon
263,Mean_Red_Norm,TCDN,C4FN,0.259430745,1,0.25943,ns,Wilcoxon
264,Mean_Red_Norm,TCDN,C1OPN,0.240844443,1,0.24084,ns,Wilcoxon
265,Mean_Red_Norm,TCDN,DNFN,0.658314443,1,0.65831,ns,Wilcoxon
266,Mean_Red_Norm,TCDN,C4G3,0.827230988,1,0.82723,ns,Wilcoxon
267,Mean_Red_Norm,TCDN,LNHA,0.442750455,1,0.44275,ns,Wilcoxon
268,Mean_Red_Norm,TCDN,G3,0.715693892,1,0.71569,ns,Wilcoxon
269,Mean_Red_Norm,TCDN,DNG3,0.618289274,1,0.61829,ns,Wilcoxon
