,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
452,25kPa,75LN_25TC,DMSO,0.173943531,0.117076542,0.089523542,47,78,85,
133,1kPa,50HA_50OPN,10 uM,0.120003584,0.100223027,0.042730001,,,,
404,25kPa,75C1_25G3,DMSO,0.133771968,0.11696893,0.073521183,255,79,183,
135,1kPa,50LN_50DN,10 uM,0.147266801,0.112584138,0.053680309,,,,
458,25kPa,75OPN_25G3,DMSO,0.159961765,0.116890264,0.083503116,101,80,128,
137,1kPa,50LN_50FN,10 uM,0.133737684,0.095419026,0.049027612,,,,
294,25kPa,25HA_75G3,DMSO,0.143789854,0.116778646,0.080586883,190,81,147,
139,1kPa,50LN_50G3,10 uM,0.110775545,0.094302789,0.039815577,,,,
58,1kPa,25HA_75FN,DMSO,0.184339228,0.116702341,0.106025879,32,82,27,
141,1kPa,50LN_50HA,10 uM,0.116276254,0.089781603,0.039958281,,,,
320,25kPa,25TC_75G3,DMSO,0.14365403,0.116278294,0.068117492,192,83,200,
143,1kPa,50LN_50OPN,10 uM,0.163610167,0.098052071,0.062823137,,,,
328,25kPa,50C1_50DN,DMSO,0.163236356,0.116205137,0.091771123,85,84,78,
145,1kPa,50LN_50TC,10 uM,0.130612928,0.07913589,0.04039407,,,,
254,25kPa,25C1_75C4,DMSO,0.129430452,0.115123924,0.066726155,295,87,206,
147,1kPa,50OPN_50DN,10 uM,0.108030568,0.099504834,0.044397254,,,,
224,1kPa,75OPN_25G3,DMSO,0.162633902,0.11484291,0.101123285,89,88,43,
149,1kPa,50OPN_50FN,10 uM,0.138345422,0.08726791,0.045433775,,,,
268,25kPa,25C1_75TC,DMSO,0.193931469,0.11471771,0.09527509,18,89,61,
151,1kPa,50OPN_50G3,10 uM,0.12963078,0.121433263,0.039725142,,,,
288,25kPa,25G3_75FN,DMSO,0.140439845,0.114606487,0.0704238,221,90,192,
153,1kPa,50TC_50DN,10 uM,0.122710131,0.117287044,0.043325685,,,,
402,25kPa,75C1_25FN,DMSO,0.137992991,0.114581166,0.066753803,230,91,205,
155,1kPa,50TC_50FN,10 uM,0.123116682,0.077613376,0.042312954,,,,
88,1kPa,25TC_75HA,DMSO,0.171700049,0.114514744,0.074749441,54,92,177,
157,1kPa,50TC_50G3,10 uM,0.124933418,0.073865816,0.040880236,,,,
306,25kPa,25LN_75OPN,DMSO,0.174336417,0.114370344,0.088051099,46,95,96,
159,1kPa,50TC_50HA,10 uM,0.133460072,0.135550417,0.051935419,,,,
352,25kPa,50C4_50OPN,DMSO,0.136311904,0.114247724,0.078250919,237,96,158,
161,1kPa,50TC_50OPN,10 uM,0.140039394,0.120965704,0.045600098,,,,
166,1kPa,75C1_25DN,DMSO,0.215360583,0.114175295,0.121666863,1,97,7,
163,1kPa,75C1_25C4,10 uM,0.112259464,0.066843327,0.037162587,,,,
200,1kPa,75HA_25DN,DMSO,0.196950302,0.113848339,0.125250951,14,99,3,
165,1kPa,75C1_25DN,10 uM,0.14772008,0.115991412,0.060750959,,,,
206,1kPa,75HA_25OPN,DMSO,0.166557842,0.113723407,0.085137348,72,100,118,
167,1kPa,75C1_25FN,10 uM,0.128756028,0.078040727,0.046212856,,,,
32,1kPa,25C1_75OPN,DMSO,0.146761995,0.112766472,0.077025198,172,101,165,
169,1kPa,75C1_25G3,10 uM,0.130738436,0.096665181,0.055043644,,,,
420,25kPa,75C4_25HA,DMSO,0.166168042,0.11272356,0.088408923,77,102,95,
171,1kPa,75C1_25HA,10 uM,0.148930594,0.085425556,0.057450527,,,,
252,25kPa,100TC,DMSO,0.153116455,0.112456365,0.074388543,129,104,180,
173,1kPa,75C1_25LN,10 uM,0.142319301,0.077481855,0.057621102,,,,
274,25kPa,25C4_75G3,DMSO,0.143584972,0.112353652,0.09024853,194,105,83,
175,1kPa,75C1_25OPN,10 uM,0.13261804,0.091539124,0.060101022,,,,
460,25kPa,75TC_25DN,DMSO,0.163087983,0.1123481,0.073222545,87,106,184,
177,1kPa,75C1_25TC,10 uM,0.150371486,0.086218051,0.060544608,,,,
104,1kPa,50C1_50OPN,DMSO,0.207212005,0.111549614,0.115762741,6,107,11,
179,1kPa,75C4_25DN,10 uM,0.114966215,0.073021643,0.044190147,,,,
304,25kPa,25LN_75HA,DMSO,0.155016721,0.111369654,0.080626221,118,109,146,
181,1kPa,75C4_25FN,10 uM,0.142060493,0.089833078,0.054527112,,,,
340,25kPa,50C1_50TC,DMSO,0.179329445,0.110926008,0.100815925,37,111,44,
183,1kPa,75C4_25G3,10 uM,0.119956428,0.080387861,0.046187943,,,,
72,1kPa,25LN_75OPN,DMSO,0.192031779,0.110918823,0.105931658,21,112,28,
185,1kPa,75C4_25HA,10 uM,0.127322848,0.088526183,0.044059366,,,,
436,25kPa,75HA_25FN,DMSO,0.157812747,0.109666323,0.08305024,106,117,132,
187,1kPa,75C4_25LN,10 uM,0.126508598,0.071830556,0.04905489,,,,
68,1kPa,25LN_75G3,DMSO,0.165365038,0.109561696,0.100792061,79,118,45,
189,1kPa,75C4_25OPN,10 uM,0.137784715,0.080344116,0.057934633,,,,
366,25kPa,50HA_50G3,DMSO,0.139027302,0.109255546,0.061224901,227,119,235,
191,1kPa,75C4_25TC,10 uM,0.12859446,0.080484295,0.055312249,,,,
34,1kPa,25C1_75TC,DMSO,0.157385112,0.10922813,0.095848721,107,120,59,
193,1kPa,75DN_25FN,10 uM,0.095758763,0.056938357,0.032468096,,,,
266,25kPa,25C1_75OPN,DMSO,0.133706822,0.108940455,0.07985231,258,122,150,
195,1kPa,75DN_25G3,10 uM,0.104395012,0.069845665,0.029017569,,,,
86,1kPa,25TC_75G3,DMSO,0.13297692,0.10884726,0.069122126,266,123,197,
197,1kPa,75G3_25FN,10 uM,0.13256874,0.096223598,0.057942671,,,,
134,1kPa,50HA_50OPN,DMSO,0.162356137,0.108174503,0.090889847,92,124,80,
199,1kPa,75HA_25DN,10 uM,0.123866457,0.089618578,0.048408377,,,,
240,25kPa,100DN,DMSO,0.144312959,0.108140923,0.067200894,186,125,202,
201,1kPa,75HA_25FN,10 uM,0.104928304,0.07563959,0.036987292,,,,
378,25kPa,50LN_50OPN,DMSO,0.13996333,0.108067512,0.070777772,223,126,190,
203,1kPa,75HA_25G3,10 uM,0.123558928,0.122307123,0.038710174,,,,
290,25kPa,25HA_75DN,DMSO,0.136566074,0.107986215,0.058379651,236,127,255,
205,1kPa,75HA_25OPN,10 uM,0.092765985,0.060995125,0.039278716,,,,
364,25kPa,50HA_50FN,DMSO,0.125724725,0.107851311,0.059824981,325,128,248,
207,1kPa,75LN_25DN,10 uM,0.169151244,0.185649048,0.066496427,,,,
430,25kPa,75DN_25G3,DMSO,0.141113957,0.107743176,0.078869263,214,129,154,
209,1kPa,75LN_25FN,10 uM,0.139791805,0.076712272,0.066850945,,,,
256,25kPa,25C1_75DN,DMSO,0.17013917,0.107716252,0.094323178,60,130,67,
211,1kPa,75LN_25G3,10 uM,0.140710225,0.139383891,0.056839528,,,,
118,1kPa,50C4_50OPN,DMSO,0.189071334,0.107412959,0.117996121,27,131,9,
213,1kPa,75LN_25HA,10 uM,0.126070658,0.10227604,0.052358416,,,,
334,25kPa,50C1_50HA,DMSO,0.142128547,0.107307608,0.067162457,206,132,203,
215,1kPa,75LN_25OPN,10 uM,0.131396721,0.103517221,0.055387617,,,,
360,25kPa,50G3_50FN,DMSO,0.134325137,0.107101225,0.070894396,252,133,189,
217,1kPa,75LN_25TC,10 uM,0.123256046,0.085031041,0.042427785,,,,
170,1kPa,75C1_25G3,DMSO,0.185813025,0.106843733,0.113187319,30,135,14,
