,Metadata_Stiffness,ConditionStiff,Mean_Orange_Norm,Mean_Green_Norm,Rank_Orange,Rank_Green,Difference in Rank
209,25kPa,OPN100_25kPa,0.079761759,0.12618614,113,106,7
210,25kPa,OPNDN25/75_25kPa,0.092189871,0.120072439,92,113,21
211,25kPa,OPNDN50/50_25kPa,0.120930484,0.166311285,35,23,12
212,25kPa,OPNDN75/25_25kPa,0.162132834,0.156854755,5,37,32
213,25kPa,OPNFN25/75_25kPa,0.140147128,0.195952728,18,3,15
214,25kPa,OPNFN50/50_25kPa,0.132549154,0.179708011,24,14,10
215,25kPa,OPNFN75/25_25kPa,0.111909422,0.140911556,44,79,35
216,25kPa,OPNG325/75_25kPa,0.154090197,0.173438705,8,19,11
217,25kPa,OPNG350/50_25kPa,0.182425551,0.176089688,2,17,15
218,25kPa,OPNG375/25_25kPa,0.115094996,0.143281627,41,73,32
219,25kPa,TC100_25kPa,0.103193194,0.151229612,65,56,9
220,25kPa,TCDN25/75_25kPa,0.09191478,0.129593048,93,103,10
221,25kPa,TCDN50/50_25kPa,0.159833253,0.156389883,7,40,33
222,25kPa,TCDN75/25_25kPa,0.105432106,0.153477331,61,46,15
223,25kPa,TCFN25/75_25kPa,0.105434908,0.131059613,60,102,42
224,25kPa,TCFN50/50_25kPa,0.101803648,0.15276937,68,49,19
225,25kPa,TCFN75/25_25kPa,0.109708973,0.1567427,49,38,11
226,25kPa,TCG325/75_25kPa,0.107271989,0.140274658,53,83,30
227,25kPa,TCG350/50_25kPa,0.093347357,0.149116123,88,61,27
228,25kPa,TCG375/25_25kPa,0.092681689,0.140049544,90,85,5
229,25kPa,TCHA25/75_25kPa,0.109698187,0.136740684,50,93,43
230,25kPa,TCHA50/50_25kPa,0.150019544,0.148866973,11,62,51
231,25kPa,TCHA75/25_25kPa,0.102265925,0.15144093,67,54,13
232,25kPa,TCOPN25/75_25kPa,0.089365816,0.146302718,101,68,33
233,25kPa,TCOPN50/50_25kPa,0.127064299,0.127791365,29,105,76
234,25kPa,TCOPN75/25_25kPa,0.094125203,0.118405639,87,114,27
