"","Metadata_ECMs","Metadata_Ratio","Metadata_Stiffness","Metadata_Experiment","Metadata_Slide","Metadata_Block","Metadata_Row","Metadata_Column","Metadata_Treatment","Abb_ECMs","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Percent_Positive","SD_Percent_Positive","Mean_Blue","SD_Blue","Mean_Green","SD_Green","Mean_Blue_Area","SD_Blue_Area","Mean_Compactness","SD_Compactness","Mean_Eccentricity","SD_Eccentricity","Mean_Form_Factor","SD_Form_Factor","Mean_MeanRadius","SD_MeanRadius","Mean_Solidity","SD_Solidity","Mean_Neighbors","SD_Neightbors","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin","Replicate","Conditions","ControlMean","FOC","Condition"
"1176","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe1",2,"5",8,5,"20 uM","C4:G3",69.3333333333333,46.5008960487143,4.103315352,0.614913130249233,0,0,0.120496512,0.0237073819446072,0.0110936623333333,0.00440616243717974,58.4846637133333,21.4487582308343,0.946070452,0.100832378496762,0.553473756,0.159690103310196,1.068350311,0.106837874408668,1.76707787366667,0.220179448242271,0.945859776,0.0335124965708221,1.00554323733333,1.09720619260032,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",653,0.10617662072486,"Collagen IVGalectin 3 50/50"
"1177","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",12,"5",8,11,"20 uM","C4:G3",22.6666666666667,22.1434715736565,2.79402017233333,0.982874002430263,8.60042735,7.85147384560814,0.126871498,0.0507835193988016,0.040708666,0.0202139341855883,57.9474206333333,30.6481490193246,0.991710436,0.17796572373402,0.603042696666667,0.172837212547463,1.034782308,0.142835748591496,1.705475069,0.314387598252208,0.929817292333333,0.0435086387148004,0.714743589666667,0.640193130827698,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",21.8888888888889,1.03553299492386,"Collagen IVGalectin 3 50/50"
"1178","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",3,"1",8,11,"DMSO","C4:G3",27.3333333333333,24.8260615751539,2.98299186933333,1.03077057183991,66.34199134,32.7110564161938,0.196991496,0.0644574664430735,0.264707600666667,0.153427682182549,98.28441559,56.5976193186896,1.08778089966667,0.518463924620897,0.662406355666667,0.124676702904362,0.961938865333333,0.111908043086844,2.03935800733333,0.343700347962713,0.938932802666667,0.0338184247838338,1.55541125533333,1.36675165706369,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",21.8888888888889,1.24873096446701,"Collagen IVGalectin 3 50/50"
"1179","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",13,"5",8,11,"20 uM","C4:G3",10.6666666666667,3.78593889720018,2.32823877333333,0.334156776488367,10.37037037,10.020555006232,0.174679341333333,0.0727398320937895,0.047326195,0.0466976275494289,68.7990740733333,26.9675167167855,0.956311944666667,0.119481161116596,0.504581916333333,0.159503733011923,1.06078419133333,0.110422034486212,1.87724997766667,0.273262847680703,0.951621721666667,0.0339478242502033,0.437037037,0.709161513951645,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",21.8888888888889,0.487309644670051,"Collagen IVGalectin 3 50/50"
"1180","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",4,"2",8,11,"10 uM","C4:G3",24,21,2.69444286966667,1.41731917488614,1.388888889,2.40562612181589,0.132861595333333,0.0432427194990331,0.0453329206666667,0.00954447528549651,86.7712962866667,53.460530517063,1.089788249,0.399611490147731,0.588536751333333,0.130608742276007,0.988202459666667,0.159246056371277,1.93337631766667,0.346764452400473,0.928770834333333,0.0612143413562178,1.972222222,1.77475588549609,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",21.8888888888889,1.09644670050761,"Collagen IVGalectin 3 50/50"
"1181","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",16,"1",8,11,"DMSO","C4:G3",31.3333333333333,12.6622799421484,3.38989686466667,0.40593725978463,97.3690932333333,2.33223943262996,0.231750499666667,0.0658615469131184,0.323885991666667,0.139144320032627,100.0659004,48.3138494168325,1.101042751,0.182643713721824,0.646009659666667,0.140656815443718,0.927516934666667,0.120757837946065,2.05897832333333,0.374983207656324,0.923788643666667,0.046389020532739,2.06270753533333,1.4181890917457,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",21.8888888888889,1.43147208121827,"Collagen IVGalectin 3 50/50"
"1182","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",18,"1",8,11,"DMSO","C4:G3",7,3.60555127546399,1.82687964133333,0.640490642745212,100,0,0.244302824666667,0.0611990298453754,0.168040083666667,0.0643959518737373,101.177777776667,39.3258467479327,1.05935975066667,0.116095789688723,0.643904846333333,0.152958582440842,0.952655946,0.100654844880562,2.103318827,0.293103440984254,0.936190745,0.0269059400565756,1.8,0.723015437631769,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",21.8888888888889,0.319796954314721,"Collagen IVGalectin 3 50/50"
"1183","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",6,"2",8,11,"10 uM","C4:G3",35.3333333333333,51.6752681012236,2.65169142433333,1.64986134344327,32.8654970733333,12.6380750004127,0.166249017333333,0.0733568124561957,0.0593215273333333,0.0370704348276072,95.3783625733333,48.2326870388573,1.04487691733333,0.150139019378738,0.611498288666667,0.178833597953553,0.975786856666667,0.110558489425449,2.04331591133333,0.311556457421031,0.938502814666667,0.0304256054420602,0.974269005666667,0.776097119610532,0,0.5,0,0,0,0,0.5,0,0,2,"C4:G3 50/50",21.8888888888889,1.61421319796954,"Collagen IVGalectin 3 50/50"
"1184","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",11,"5",8,11,"20 uM","C4:G3",10.3333333333333,7.09459888459759,2.15796356533333,0.752806930307759,37.0370370366667,11.5648111077893,0.121070502333333,0.0670950393214535,0.061681426,0.0443440629352533,66.4537037033333,28.2763941515959,1.05971326266667,0.222363828154596,0.579825356,0.215249061005294,0.976728706666667,0.159975899932854,1.79900631466667,0.32606490643084,0.922966132,0.0488681714873707,0.703703703666667,0.804061043351,0,0.5,0,0,0,0,0.5,0,0,1,"C4:G3 50/50",21.8888888888889,0.472081218274112,"Collagen IVGalectin 3 50/50"
"1185","Collagen IVGalectin 3","50/50","25kPa","BAA3DPe2",7,"2",8,11,"10 uM","C4:G3",39.6666666666667,49.9032397077919,3.04635305666667,1.41152929829828,32.6675257733333,51.2644917287219,0.142467856333333,0.0448094021769978,0.0941265686666667,0.0412054580925173,103.430412366667,70.3928420072241,1.25120551533333,0.496294577232268,0.635798817333333,0.155035769968826,0.910115461,0.1702120499868,1.93561980966667,0.384919887760657,0.909291319333333,0.0790498574828139,2.10409507466667,1.42930485558533,0,0.5,0,0,0,0,0.5,0,0,3,"C4:G3 50/50",21.8888888888889,1.81218274111675,"Collagen IVGalectin 3 50/50"
"1186","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",12,"3",2,2,"DMSO","C4:G3",198.333333333333,67.8994354419338,5.243870945,0.38653417303116,80.20226586,4.21024574777684,0.423748937333333,0.18461617750077,0.224563386,0.144603892777625,110.1237403,60.2428744294236,1.167563622,0.190317937704212,0.676027226666667,0.146165624830637,0.875520377,0.120241620625522,2.07023368066667,0.379053994065649,0.906282841666667,0.04958193498687,4.10261747966667,2.12838094225338,0,0.75,0,0,0,0,0.25,0,0,1,"C4:G3 75/25",150.444444444444,1.31831610044313,"Collagen IVGalectin 3 75/25"
"1187","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",16,"3",2,2,"DMSO","C4:G3",207,234.155930952005,4.84845844033333,1.22563098572148,81.1849495533333,13.2539759475488,0.379871730666667,0.144241555150545,0.399347095333333,0.220821392002971,109.554781506667,59.1219040190167,1.16032277866667,0.207307300996071,0.674720672,0.146082179503993,0.885213851333333,0.128133565406329,2.07001089166667,0.364564597638646,0.907448754,0.0518902230791456,3.849521239,2.02088938658298,0,0.75,0,0,0,0,0.25,0,0,2,"C4:G3 75/25",150.444444444444,1.37592319054653,"Collagen IVGalectin 3 75/25"
"1188","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",8,"6",2,2,"20 uM","C4:G3",38.3333333333333,25.5408170059874,3.43897361,0.856895434786345,0,0,0.181797196666667,0.0684377110580702,0.009417054,0.00403792907258329,72.6166666666667,42.3371858233804,0.964597521333333,0.127372137900083,0.53245497,0.17283389935285,1.052502147,0.122706367243496,1.883452791,0.369761696716577,0.944304726333333,0.0344499691039435,1.074867725,1.07515682495242,0,0.75,0,0,0,0,0.25,0,0,2,"C4:G3 75/25",150.444444444444,0.25480059084195,"Collagen IVGalectin 3 75/25"
"1189","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",4,"4",2,2,"10 uM","C4:G3",30,25.3574446662119,3.16896102433333,0.819710816770015,0,0,0.132414511,0.0312943399466644,0.00910736,0.00492495411378387,75.5425215566667,52.1997475686068,0.979504139,0.132709394541614,0.567497785666667,0.176432625116673,1.037258205,0.12023393235465,1.87999823233333,0.313870983412066,0.943253075333333,0.030786666150224,1.55030230933333,1.67400360197208,0,0.75,0,0,0,0,0.25,0,0,1,"C4:G3 75/25",150.444444444444,0.199409158050222,"Collagen IVGalectin 3 75/25"
"1190","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",1,"6",2,2,"20 uM","C4:G3",34.6666666666667,23.2880512996114,3.27264322166667,1.03523627223978,1.96078431366667,3.39617805395474,0.163803021333333,0.084583102174342,0.0247254973333333,0.0163976805521973,70.3168300666667,45.3350922707786,1.03405104466667,0.191566574142863,0.614742456,0.188536856066854,0.995812784,0.152892164218984,1.79702061066667,0.369736845296064,0.925398608333333,0.0459675842027855,1.69782135066667,1.60660260911142,0,0.75,0,0,0,0,0.25,0,0,1,"C4:G3 75/25",150.444444444444,0.230428360413589,"Collagen IVGalectin 3 75/25"
"1191","Collagen IVGalectin 3","75/25","1kPa","BAA3DPe1",9,"6",2,2,"20 uM","C4:G3",13,8.54400374531753,2.395129005,0.744871145322642,0,0,0.129185522333333,0.0243221013155466,0.0125485906666667,0.00352108549420734,50.9136363633333,17.7027749114553,0.935246434,0.119436368626998,0.556632305666667,0.185185831079646,1.087597428,0.129633232422826,1.673673024,0.173306429958529,0.948877296333333,0.0370362024214694,0.517171717,0.697656352931652,0,0.75,0,0,0,0,0.25,0,0,3,"C4:G3 75/25",150.444444444444,0.086410635155096,"Collagen IVGalectin 3 75/25"
