"","Metadata_Slide","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1539","14","25kPa","E2","03","DMSO","09","25/75","LamininFibronectin","LNFN",611.5,164.755880016466,6.39742940538269,0.272761693064735,0.124479309724175,0.0419558961098188,0.146872743821241,0.0442940632051556,0.0651977121743403,0.0417096513874203,0.0716007183831028,0.047769282800178,0.0811986831526561,0.0275813933911152,0.107917190307379,0.0360683976692931
"1540","14","25kPa","E2","03","DMSO","10","50/50","DecorinGalectin 3","DNG3",879,275.771644662754,6.75355159634568,0.319037640035889,0.11630029605031,0.0375173805299626,0.137397082729648,0.040263379408105,0.0646008403611877,0.0413796449485937,0.0708126264710132,0.0476382103528217,0.0749107521142788,0.0233163634123844,0.0998061809212323,0.0299530339378843
"1541","14","25kPa","E2","03","DMSO","11","25/75","LamininHyaluronic Acid","LNHA",489,373.352380466497,6.02008281500216,0.854160119613384,0.170405605886203,0.0665110653997554,0.193495860841914,0.0660525047060014,0.101211720452285,0.0591950831939495,0.113250890203625,0.0675382091924118,0.10812367394839,0.0388893058006694,0.14592618376966,0.0600457368695288
"1542","14","25kPa","E2","03","DMSO","12","50/50","Hyaluronic AcidFibronectin","HAFN",895.5,310.419876940894,6.76640137996859,0.353847976829992,0.107677978436917,0.0405925763422432,0.126330743486478,0.0428971548673247,0.0616284430314437,0.0417331442489777,0.0672593363858826,0.0477261814199271,0.0707851170883692,0.0236694760073006,0.0950426245471377,0.0314048506892418
"1543","14","25kPa","E2","04","DMSO","02","100","Laminin","LN",64,38.1837661840736,4.06088870958054,0.636354803699163,0.157830757058454,0.0494537923918603,0.180071500002372,0.0489414302322852,0.0561025018168518,0.0337778516410539,0.0609592596614541,0.0394391585280561,0.174005774612244,0.0754096356480571,0.26313288442218,0.129105739280528
"1544","14","25kPa","E2","04","DMSO","03","50/50","LamininGalectin 3","LNG3",1001,291.327993848858,6.88711766787593,0.295253218857932,0.0860541660400972,0.0257095483157976,0.104954400134707,0.0286167366603559,0.0500940240043028,0.0347544102694097,0.053837590069881,0.0402317015190891,0.0677867345076891,0.0213083822596102,0.0909632935559866,0.026275704359351
"1545","14","25kPa","E2","04","DMSO","04","75/25","Collagen IHyaluronic Acid","C1HA",22.5,30.4055915910215,1.89209481695913,2.67582615143944,0.146435701337014,NA,0.170259542302917,NA,0.0646660560338137,NA,0.0712637279721719,NA,0.113670284083188,NA,0.149285166435985,NA
"1546","14","25kPa","E2","04","DMSO","05","50/50","Collagen IVFibronectin","C4FN",21,16.9705627484771,2.84686606940135,0.918731808758801,0.161603614929399,0.0390561679474681,0.18644101036194,0.0410674248606159,0.0873740440391787,0.0520169197606527,0.0976954737067737,0.0601102703064866,0.129451880484588,0.0305425846657043,0.169984880316704,0.0416271239480984
"1547","14","25kPa","E2","04","DMSO","06","25/75","Galectin 3Fibronectin","G3FN",330,39.5979797464467,5.79548000188779,0.120283084218474,0.147855848681647,0.0489292153361085,0.171986171505232,0.0498818984803091,0.0745070501913696,0.0377879210260337,0.0825690660695286,0.0435503599387273,0.104265359341047,0.0297908880862655,0.137584248019719,0.0443356356461791
"1548","14","25kPa","E2","04","DMSO","07","25/75","LamininGalectin 3","LNG3",15.5,19.0918830920368,2.03022150527321,1.89090864391035,0.139327672958854,0.0525777358347768,0.16302677686174,0.0552726900604327,0.104742743375151,0.0277465362456435,0.117852385757028,0.0322627526852706,0.14611159514771,0.0186074523951596,0.193367667631787,0.0292663707185287
"1549","14","25kPa","E2","04","DMSO","08","50/50","Collagen IGalectin 3","C1G3",19,16.9705627484771,2.68994867677023,1.05222937682254,0.186983853051825,0.035688314839929,0.213120357405639,0.0360585898535148,0.0949290816766601,0.0248192106979544,0.106456927149854,0.0288144954581008,0.131177410999614,0.018984177820032,0.172069933986447,0.0277648577355942
"1550","14","25kPa","E2","04","DMSO","09","50/50","Collagen IVTenascin C","C4TC",117.5,0.707106781186548,4.76642927963171,0.0060179663767526,0.188615264572574,0.0586841863138691,0.213112473666337,0.0590828175868564,0.0832510103130585,0.046218502635058,0.0926145155478217,0.0530261597986873,0.113833021168891,0.0347031300369189,0.151555587135726,0.0489353426069781
"1551","14","25kPa","E2","04","DMSO","10","50/50","Tenascin COsteopontin","TCOPN",1084,499.217387517703,6.9323631729144,0.477933067757508,0.107154240066671,0.0334326308788837,0.127738683972546,0.0359618050020465,0.0581524561077064,0.0362174590619084,0.0633859125649209,0.0418528662756378,0.0651416206107723,0.0193820130590936,0.0875625111066275,0.0246788737800847
"1552","14","25kPa","E2","04","DMSO","11","50/50","Collagen ILaminin","C1LN",8,1.4142135623731,2.07156736319577,0.177706136447449,0.101995471271064,0.0222778322742194,0.115316275698157,0.023411826152221,0.0434965576911793,0.0106447341986213,0.0477715976091405,0.0123328835231949,0.0712543476376362,0.00901099736102692,0.0918626900946483,0.0121486633652954
"1553","14","25kPa","E2","04","DMSO","12","50/50","Collagen IDecorin","C1DN",19.5,14.8492424049175,2.79921097949919,0.851337334303054,0.167474712779597,0.0783969058517957,0.190021422728383,0.0797694678084066,0.134014204626498,0.0827975379668957,0.14981197514671,0.0939357323285867,0.113747247311532,0.0457066591012702,0.153253577535142,0.0635063794966872
"1554","14","25kPa","E2","05","DMSO","02","75/25","Tenascin COsteopontin","TCOPN",432.5,10.6066017177982,6.06943194791836,0.0245263932624757,0.106178977346423,0.0342318678825764,0.127565478116672,0.0370723060120221,0.0640929977337518,0.0345063526030605,0.0704022522933456,0.0401805205057783,0.0996413505488935,0.0319376307298344,0.130754433268047,0.0433200249852428
