,.y.,group1,group2,p,p.adj,p.format,p.signif,method
201,Mean_Orange_Norm,HAG3,TCOPN,0.403730565,1,0.40373,ns,Wilcoxon
202,Mean_Orange_Norm,HAG3,TCHA,0.385008497,1,0.38501,ns,Wilcoxon
203,Mean_Orange_Norm,HAG3,C1HA,0.077908807,1,0.07791,ns,Wilcoxon
204,Mean_Orange_Norm,HAG3,LNTC,0.326482179,1,0.32648,ns,Wilcoxon
205,Mean_Orange_Norm,HAG3,HA,0.560089053,1,0.56009,ns,Wilcoxon
206,Mean_Orange_Norm,HAG3,HADN,0.827230988,1,0.82723,ns,Wilcoxon
207,Mean_Orange_Norm,HAG3,LNOPN,0.354993943,1,0.35499,ns,Wilcoxon
208,Mean_Orange_Norm,HAG3,TC,0.173266484,1,0.17327,ns,Wilcoxon
209,Mean_Orange_Norm,HAG3,DN,0.108729516,1,0.10873,ns,Wilcoxon
210,Mean_Orange_Norm,HAG3,OPN,0.223375277,1,0.22338,ns,Wilcoxon
211,Mean_Orange_Norm,LNG3,TCDN,0.128095531,1,0.1281,ns,Wilcoxon
212,Mean_Orange_Norm,LNG3,C4OPN,0.001078173,1,0.00108,**,Wilcoxon
213,Mean_Orange_Norm,LNG3,C1,0.04049067,1,0.04049,*,Wilcoxon
214,Mean_Orange_Norm,LNG3,OPNG3,0.548232125,1,0.54823,ns,Wilcoxon
215,Mean_Orange_Norm,LNG3,C4,0.763486317,1,0.76349,ns,Wilcoxon
216,Mean_Orange_Norm,LNG3,HAOPN,0.36885996,1,0.36886,ns,Wilcoxon
217,Mean_Orange_Norm,LNG3,FN,0.230553295,1,0.23055,ns,Wilcoxon
218,Mean_Orange_Norm,LNG3,OPNDN,0.209285746,1,0.20929,ns,Wilcoxon
219,Mean_Orange_Norm,LNG3,OPNFN,0.676485421,1,0.67649,ns,Wilcoxon
220,Mean_Orange_Norm,LNG3,LNDN,0.439910468,1,0.43991,ns,Wilcoxon
221,Mean_Orange_Norm,LNG3,LNFN,0.037348425,1,0.03735,*,Wilcoxon
222,Mean_Orange_Norm,LNG3,C1G3,0.103915612,1,0.10392,ns,Wilcoxon
223,Mean_Orange_Norm,LNG3,C4HA,0.11686386,1,0.11686,ns,Wilcoxon
224,Mean_Orange_Norm,LNG3,G3FN,0.058181396,1,0.05818,ns,Wilcoxon
225,Mean_Orange_Norm,LNG3,C4FN,0.004813474,1,0.00481,**,Wilcoxon
226,Mean_Orange_Norm,LNG3,C1OPN,0.393839049,1,0.39384,ns,Wilcoxon
227,Mean_Orange_Norm,LNG3,DNFN,0.003982112,1,0.00398,**,Wilcoxon
228,Mean_Orange_Norm,LNG3,C4G3,8.895340296109e-05,0.087,8.9e-05,****,Wilcoxon
229,Mean_Orange_Norm,LNG3,LNHA,0.068120539,1,0.06812,ns,Wilcoxon
230,Mean_Orange_Norm,LNG3,G3,0.024164054,1,0.02416,*,Wilcoxon
231,Mean_Orange_Norm,LNG3,DNG3,0.030440122,1,0.03044,*,Wilcoxon
