,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Green_Norm,Rank_Red,Rank_Green,Difference in Rank
210,25kPa,OPNDN25/75_25kPa,0.053782372,0.120072439,117,113,4
211,25kPa,OPNDN50/50_25kPa,0.089901478,0.166311285,25,23,2
212,25kPa,OPNDN75/25_25kPa,0.056572766,0.156854755,116,37,79
213,25kPa,OPNFN25/75_25kPa,0.098024224,0.195952728,6,3,3
214,25kPa,OPNFN50/50_25kPa,0.091351838,0.179708011,19,14,5
215,25kPa,OPNFN75/25_25kPa,0.07204932,0.140911556,86,79,7
216,25kPa,OPNG325/75_25kPa,0.090309256,0.173438705,24,19,5
217,25kPa,OPNG350/50_25kPa,0.102627439,0.176089688,4,17,13
218,25kPa,OPNG375/25_25kPa,0.083943916,0.143281627,44,73,29
219,25kPa,TC100_25kPa,0.077041489,0.151229612,64,56,8
220,25kPa,TCDN25/75_25kPa,0.070818699,0.129593048,90,103,13
221,25kPa,TCDN50/50_25kPa,0.074948607,0.156389883,73,40,33
222,25kPa,TCDN75/25_25kPa,0.072423908,0.153477331,84,46,38
223,25kPa,TCFN25/75_25kPa,0.069366579,0.131059613,93,102,9
224,25kPa,TCFN50/50_25kPa,0.075425037,0.15276937,71,49,22
225,25kPa,TCFN75/25_25kPa,0.08684612,0.1567427,32,38,6
226,25kPa,TCG325/75_25kPa,0.06747508,0.140274658,96,83,13
227,25kPa,TCG350/50_25kPa,0.085112888,0.149116123,40,61,21
228,25kPa,TCG375/25_25kPa,0.071057577,0.140049544,89,85,4
229,25kPa,TCHA25/75_25kPa,0.067815059,0.136740684,95,93,2
230,25kPa,TCHA50/50_25kPa,0.072603289,0.148866973,80,62,18
231,25kPa,TCHA75/25_25kPa,0.073629513,0.15144093,75,54,21
232,25kPa,TCOPN25/75_25kPa,0.064413799,0.146302718,105,68,37
233,25kPa,TCOPN50/50_25kPa,0.065523877,0.127791365,103,105,2
234,25kPa,TCOPN75/25_25kPa,0.064378247,0.118405639,106,114,8
