"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"842","25kPa","E2","08","10 uM","09","50/50","LamininFibronectin","LNFN",211.222222222222,33.592327166251,5.33912715391045,0.150057369051931,0.100187952858692,0.0295500704083796,0.119890949179699,0.0315612180725688,0.0436085965049337,0.0243899469712029,0.0460110891686573,0.0283575361548868,0.053139570247037,0.0204541407068004,0.0576314650587044,0.0117577906863084
"843","25kPa","E2","08","10 uM","10","75/25","Collagen IVLaminin","C4LN",178.111111111111,37.7962373200767,5.02659946170256,0.287797034763967,0.124542442233746,0.0364947359090181,0.146344898487294,0.0380313213688101,0.0579472483703839,0.035325213808368,0.0627078453109166,0.0406048746534687,0.0635508318105765,0.0194651887174709,0.0669381397616447,0.0121524118431879
"844","25kPa","E2","08","10 uM","11","25/75","Collagen IHyaluronic Acid","C1HA",191.777777777778,48.0451176846653,5.02260683401432,0.348513109780063,0.128899832908554,0.0442209754535795,0.150447901964036,0.0450937109422255,0.0582073439256012,0.0364041509222776,0.0630359385020453,0.0415122304883953,0.063566656325672,0.0218895868430518,0.0662829932021448,0.0128458881982254
"845","25kPa","E2","08","10 uM","12","50/50","OsteopontinFibronectin","OPNFN",107.888888888889,31.0376115919594,4.47204062270308,0.275264788109129,0.13175559737142,0.0379910433785777,0.153984849723687,0.0391995780348899,0.0650392828179262,0.0380345389772748,0.0709803659076284,0.0431804864048463,0.0730817124967552,0.0222526587006947,0.0735849872486369,0.0121591800439113
"846","25kPa","E2","08","DMSO","02","75/25","Galectin 3Fibronectin","G3FN",157.888888888889,48.2355332370926,4.723954540054,0.449577010383759,0.137462363818982,0.0356993991510593,0.159211751719034,0.0378031117234654,0.097690213443525,0.0462571684003368,0.108841258616424,0.0525738268252843,NA,NA,0.119339046749918,0.00919538051912901
"847","25kPa","E2","08","DMSO","03","75/25","OsteopontinDecorin","OPNDN",426.222222222222,155.238526146057,5.84882144669047,0.794663147513061,0.0914189564606329,0.0299069205312485,0.109785206845854,0.0327503427859403,0.0584561505167967,0.0370218784893773,0.0633211998938168,0.042485293368508,NA,NA,0.103139597706872,0.0118067354535757
"848","25kPa","E2","08","DMSO","04","25/75","Collagen IDecorin","C1DN",99.8888888888889,25.4711165396764,4.13221260181989,0.486903798614273,0.127290195462571,0.0339216485057996,0.149027126059438,0.0355010191507106,0.0761298470195932,0.0348570357796219,0.0840190453679214,0.0399842257365019,NA,NA,0.107413634982456,0.00876078289578599
"849","25kPa","E2","08","DMSO","05","75/25","Collagen IVOsteopontin","C4OPN",42.6666666666667,29.1928453944151,2.93269936481544,0.393056553472045,0.102601143453255,0.0239038474765626,0.122661746520548,0.0254137556817094,0.0716767394604385,0.0431608747951621,0.0792108640372524,0.0487036289076837,NA,NA,0.111934850370109,0.00799459999510469
"850","25kPa","E2","08","DMSO","06","25/75","Collagen IVGalectin 3","C4G3",345.666666666667,110.858267871889,5.59439434641529,0.944716619070582,0.117692066595859,0.0389844292230298,0.138506833966379,0.0405711794601438,0.082920179994884,0.0509161168984832,0.091602632277194,0.0578044161851912,NA,NA,0.104402196518415,0.0102942734231098
"851","25kPa","E2","08","DMSO","07","75/25","Collagen ICollagen IV","C1C4",17.3333333333333,19.3821223468088,2.40657271158038,1.12763409938619,0.118365873155774,0.0259084812491299,0.140260942431631,0.0272731903899859,0.0815368319873241,0.0382097997221682,0.089649794244972,0.0439321245512007,0.0702234456796715,0.0197908972906978,0.0728140411829784,0.0125014259047899
"852","25kPa","E2","08","DMSO","08","75/25","Hyaluronic AcidFibronectin","HAFN",23.5555555555556,28.7788502588658,2.22860031238251,1.2194454626937,0.121151534767707,NA,0.142439924402204,NA,0.0813771983422329,NA,0.0899618859810939,NA,NA,NA,0.108957828339972,NA
"853","25kPa","E2","08","DMSO","09","50/50","LamininFibronectin","LNFN",561.222222222222,221.248728809908,5.86179902233955,1.57615193135922,0.0830267969666635,0.0242226239629205,0.100310782514952,0.0272195879521972,0.059166958877789,0.039934265207906,0.0641176214707724,0.0458135595726968,NA,NA,0.0987120311647711,0.0101753395019397
"854","25kPa","E2","08","DMSO","10","75/25","Collagen IVLaminin","C4LN",565.333333333333,64.4920322382713,6.30403227307671,0.120695645407942,0.0884580949895221,0.0309474792370366,0.105940313645469,0.0335279313182075,0.0614278663132077,0.042237734026553,0.0667113050578859,0.0482167419609369,NA,NA,0.102635970648382,0.00942945328999074
"855","25kPa","E2","08","DMSO","11","25/75","Collagen IHyaluronic Acid","C1HA",602.333333333333,275.26815209093,6.2269464169551,0.560874960871171,0.0867171504467728,0.0276681342683968,0.104165351881685,0.0303279647191752,0.0565516790988033,0.035060511968741,0.0611486088282984,0.040264214567204,NA,NA,0.105068284839821,0.00853778149185499
"856","25kPa","E2","08","DMSO","12","50/50","OsteopontinFibronectin","OPNFN",254.222222222222,88.7017474461467,5.10058122802027,0.827086451713746,0.113784647437705,0.0414402175461242,0.1341814442818,0.0427760849056865,0.0801272593858905,0.0449280627973306,0.0885778198589095,0.051198157909925,NA,NA,0.128452566158669,0.008660162012277
"857","25kPa","E2","09","10 uM","02","50/50","Collagen IVLaminin","C4LN",76,21.8225164044439,4.05760663673647,0.361509993701436,0.120221101821544,0.0399055989305378,0.141030512796544,0.0413514354806226,0.0620144993415619,0.0356239878596391,0.0675730910539331,0.0409796331315009,0.0829527520981167,0.0291941970194836,0.0804120214133662,0.0152881315563137
"858","25kPa","E2","09","10 uM","03","75/25","Collagen IOsteopontin","C1OPN",37.2222222222222,79.2415435376055,2.42734966662888,1.4129182207386,0.114446124742346,0.0414442553175332,0.132376363549309,0.0452104362351121,0.0448410774241072,0.0236466434667085,0.0484942849622004,0.0271446253951427,0.07296875721632,0.0260192974778112,0.0642095000308181,0.0147981626404069
"859","25kPa","E2","09","10 uM","04","25/75","Hyaluronic AcidGalectin 3","HAG3",77.7777777777778,81.2321775324696,3.97189782480105,0.775585126858207,0.120661245247407,0.0394424804964188,0.140490434829042,0.0402740381029855,0.0655014904239263,0.0653201662457223,0.0715594010467763,0.0727879980425061,0.0688785044348033,0.0207303226108432,0.0678265019361253,0.0108796415435393
"860","25kPa","E2","09","10 uM","05","50/50","LamininDecorin","LNDN",25.3888888888889,27.8258472966732,2.46732328297078,0.809428435715487,0.121060290025966,0.0524522566089676,0.139217648653982,0.0565482953547642,0.0490674098907017,0.0271146631344728,0.0531772866680139,0.0310442358034103,0.063390839040719,0.0398805689631231,0.0618168832819103,0.0268413396187053
